RSRQ (LTE pcell),RSRP (LTE pcell),Physical cell identity (LTE pcell),Time,time,nemo_abs_time,longitude,latitude,altitude,gps_time_prev,gps_time_next,state_abrv,census_tract_geoid,census_tract_arealand,census_block_geoid,census_block_arealand,county_geoid,county_name
-13.3,-80.7,484, 9:04:54.760,2024-08-18  9:04:54.760,1723986294760.0,,,,,,,,,,,,
-13.7,-79.4,484, 9:04:55.188,2024-08-18  9:04:55.188,1723986295188.0,-121.890427,37.705471,77.16218905472637,1723986295025.0,1723986296030.0,CA,06001450101,06001450101,1811639,1811639,06001,Alameda County
-9.2,-83.8,484, 9:04:55.692,2024-08-18  9:04:55.692,1723986295692.0,-121.890427,37.705471,77.66368159203981,1723986295025.0,1723986296030.0,CA,06001450101,06001450101,1811639,1811639,06001,Alameda County
-11.4,-85.2,484, 9:04:56.359,2024-08-18  9:04:56.359,1723986296359.0,-121.89042438109452,37.705471,78.0,1723986296030.0,1723986297035.0,CA,06001450101,06001450101,1811639,1811639,06001,Alameda County
-10.6,-90.6,484, 9:04:56.984,2024-08-18  9:04:56.984,1723986296984.0,-121.89041940597016,37.705471,78.0,1723986296030.0,1723986297035.0,CA,06001450101,06001450101,1811639,1811639,06001,Alameda County
-10.3,-85.5,484, 9:04:57.502,2024-08-18  9:04:57.502,1723986297502.0,-121.890419,37.705471,78.0,1723986297035.0,1723986298015.0,CA,06001450101,06001450101,1811639,1811639,06001,Alameda County
-10.5,-85.1,484, 9:04:58.016,2024-08-18  9:04:58.016,1723986298016.0,-121.890419,37.705471,78.0,1723986298015.0,1723986299032.0,CA,06001450101,06001450101,1811639,1811639,06001,Alameda County
-17.6,-111.0,33, 9:04:58.654,2024-08-18  9:04:58.654,1723986298654.0,-121.890419,37.705471,78.0,1723986298015.0,1723986299032.0,CA,06001450101,06001450101,1811639,1811639,06001,Alameda County
-15.4,-110.3,33, 9:04:59.383,2024-08-18  9:04:59.383,1723986299383.0,-121.890419,37.705471,78.0,1723986299032.0,1723986300025.0,CA,06001450101,06001450101,1811639,1811639,06001,Alameda County
-11.6,-107.2,33, 9:04:59.943,2024-08-18  9:04:59.943,1723986299943.0,-121.890419,37.705471,78.0,1723986299032.0,1723986300025.0,CA,06001450101,06001450101,1811639,1811639,06001,Alameda County
-12.3,-107.9,33, 9:05:00.467,2024-08-18  9:05:00.467,1723986300467.0,-121.890419,37.705471,78.0,1723986300025.0,1723986301030.0,CA,06001450101,06001450101,1811639,1811639,06001,Alameda County
-10.6,-108.6,33, 9:05:01.124,2024-08-18  9:05:01.124,1723986301124.0,-121.890419,37.705471,78.0,1723986301030.0,1723986302028.0,CA,06001450101,06001450101,1811639,1811639,06001,Alameda County
-11.9,-105.3,33, 9:05:01.726,2024-08-18  9:05:01.726,1723986301726.0,-121.890419,37.705471,78.0,1723986301030.0,1723986302028.0,CA,06001450101,06001450101,1811639,1811639,06001,Alameda County
-12.6,-114.6,33, 9:05:02.325,2024-08-18  9:05:02.325,1723986302325.0,-121.890419,37.705471,78.0,1723986302028.0,1723986303032.0,CA,06001450101,06001450101,1811639,1811639,06001,Alameda County
-11.8,-106.4,33, 9:05:02.876,2024-08-18  9:05:02.876,1723986302876.0,-121.890419,37.705471,78.0,1723986302028.0,1723986303032.0,CA,06001450101,06001450101,1811639,1811639,06001,Alameda County
-12.8,-106.6,33, 9:05:03.403,2024-08-18  9:05:03.403,1723986303403.0,-121.890419,37.705471,78.0,1723986303032.0,1723986304028.0,CA,06001450101,06001450101,1811639,1811639,06001,Alameda County
-12.0,-104.9,33, 9:05:03.933,2024-08-18  9:05:03.933,1723986303933.0,-121.890419,37.705471,78.0,1723986303032.0,1723986304028.0,CA,06001450101,06001450101,1811639,1811639,06001,Alameda County
-11.2,-114.3,33, 9:05:04.582,2024-08-18  9:05:04.582,1723986304582.0,-121.890419,37.705471,78.0,1723986304028.0,1723986305030.0,CA,06001450101,06001450101,1811639,1811639,06001,Alameda County
-11.8,-104.2,33, 9:05:05.231,2024-08-18  9:05:05.231,1723986305231.0,-121.890419,37.705471,78.0,1723986305030.0,1723986306032.0,CA,06001450101,06001450101,1811639,1811639,06001,Alameda County
-12.1,-105.4,33, 9:05:05.875,2024-08-18  9:05:05.875,1723986305875.0,-121.890419,37.705471,78.0,1723986305030.0,1723986306032.0,CA,06001450101,06001450101,1811639,1811639,06001,Alameda County
-12.7,-105.4,33, 9:05:06.472,2024-08-18  9:05:06.472,1723986306472.0,-121.890419,37.705471,78.0,1723986306032.0,1723986307033.0,CA,06001450101,06001450101,1811639,1811639,06001,Alameda County
-11.4,-105.2,33, 9:05:07.079,2024-08-18  9:05:07.079,1723986307079.0,-121.890419,37.705471,78.0,1723986307033.0,1723986308028.0,CA,06001450101,06001450101,1811639,1811639,06001,Alameda County
-12.6,-105.8,33, 9:05:08.449,2024-08-18  9:05:08.449,1723986308449.0,-121.890419,37.705471,78.0,1723986308028.0,1723986309026.0,CA,06001450101,06001450101,1811639,1811639,06001,Alameda County
-10.8,-106.3,33, 9:05:09.062,2024-08-18  9:05:09.062,1723986309062.0,-121.890419,37.705471,78.0,1723986309026.0,1723986310025.0,CA,06001450101,06001450101,1811639,1811639,06001,Alameda County
-12.1,-112.6,33, 9:05:09.741,2024-08-18  9:05:09.741,1723986309741.0,-121.890419,37.705471,78.0,1723986309026.0,1723986310025.0,CA,06001450101,06001450101,1811639,1811639,06001,Alameda County
-10.8,-106.8,33, 9:05:10.589,2024-08-18  9:05:10.589,1723986310589.0,-121.890419,37.705471,78.0,1723986310025.0,1723986311032.0,CA,06001450101,06001450101,1811639,1811639,06001,Alameda County
-14.8,-107.2,33, 9:05:11.092,2024-08-18  9:05:11.092,1723986311092.0,-121.890419,37.705471,78.0,1723986311032.0,1723986312030.0,CA,06001450101,06001450101,1811639,1811639,06001,Alameda County
-11.2,-106.6,33, 9:05:11.817,2024-08-18  9:05:11.817,1723986311817.0,-121.890419,37.705471,78.0,1723986311032.0,1723986312030.0,CA,06001450101,06001450101,1811639,1811639,06001,Alameda County
-11.2,-106.6,33, 9:05:12.358,2024-08-18  9:05:12.358,1723986312358.0,-121.890419,37.705471,78.0,1723986312030.0,1723986313031.0,CA,06001450101,06001450101,1811639,1811639,06001,Alameda County
-11.8,-111.1,33, 9:05:13.094,2024-08-18  9:05:13.094,1723986313094.0,-121.890419,37.705471,78.0,1723986313031.0,1723986314026.0,CA,06001450101,06001450101,1811639,1811639,06001,Alameda County
-14.2,-103.5,33, 9:05:13.641,2024-08-18  9:05:13.641,1723986313641.0,-121.890419,37.705471,78.0,1723986313031.0,1723986314026.0,CA,06001450101,06001450101,1811639,1811639,06001,Alameda County
-10.9,-104.0,33, 9:05:14.241,2024-08-18  9:05:14.241,1723986314241.0,-121.890419,37.705471,78.0,1723986314026.0,1723986315032.0,CA,06001450101,06001450101,1811639,1811639,06001,Alameda County
-10.1,-104.1,33, 9:05:14.791,2024-08-18  9:05:14.791,1723986314791.0,-121.890419,37.705471,78.0,1723986314026.0,1723986315032.0,CA,06001450101,06001450101,1811639,1811639,06001,Alameda County
-10.3,-103.9,33, 9:05:15.360,2024-08-18  9:05:15.360,1723986315360.0,-121.890419,37.705471,78.0,1723986315032.0,1723986316033.0,CA,06001450101,06001450101,1811639,1811639,06001,Alameda County
-10.7,-103.4,33, 9:05:16.281,2024-08-18  9:05:16.281,1723986316281.0,-121.890419,37.705471,78.0,1723986316033.0,1723986317034.0,CA,06001450101,06001450101,1811639,1811639,06001,Alameda County
-10.1,-102.5,33, 9:05:17.844,2024-08-18  9:05:17.844,1723986317844.0,-121.890419,37.705471,78.0,1723986317034.0,1723986318038.0,CA,06001450101,06001450101,1811639,1811639,06001,Alameda County
-10.1,-102.5,33, 9:05:18.442,2024-08-18  9:05:18.442,1723986318442.0,-121.890419,37.705471,78.0,1723986318038.0,1723986319027.0,CA,06001450101,06001450101,1811639,1811639,06001,Alameda County
-11.4,-102.6,33, 9:05:19.339,2024-08-18  9:05:19.339,1723986319339.0,-121.890419,37.705471,78.0,1723986319027.0,1723986320026.0,CA,06001450101,06001450101,1811639,1811639,06001,Alameda County
-10.9,-106.3,33, 9:05:20.081,2024-08-18  9:05:20.081,1723986320081.0,-121.890419,37.705471,78.0,1723986320026.0,1723986321024.0,CA,06001450101,06001450101,1811639,1811639,06001,Alameda County
-10.8,-107.6,33, 9:05:22.283,2024-08-18  9:05:22.283,1723986322283.0,-121.890419,37.705471,78.0,1723986322028.0,1723986323028.0,CA,06001450101,06001450101,1811639,1811639,06001,Alameda County
-11.9,-107.0,33, 9:05:23.563,2024-08-18  9:05:23.563,1723986323563.0,-121.890419,37.705471,78.0,1723986323028.0,1723986324033.0,CA,06001450101,06001450101,1811639,1811639,06001,Alameda County
-12.1,-108.8,33, 9:05:24.643,2024-08-18  9:05:24.643,1723986324643.0,-121.890419,37.705471,78.0,1723986324033.0,1723986325029.0,CA,06001450101,06001450101,1811639,1811639,06001,Alameda County
-11.6,-106.1,33, 9:05:25.382,2024-08-18  9:05:25.382,1723986325382.0,-121.890419,37.705471,78.0,1723986325029.0,1723986326024.0,CA,06001450101,06001450101,1811639,1811639,06001,Alameda County
-11.2,-104.5,33, 9:05:26.680,2024-08-18  9:05:26.680,1723986326680.0,-121.890419,37.705471,78.0,1723986326024.0,1723986327023.0,CA,06001450101,06001450101,1811639,1811639,06001,Alameda County
-12.3,-109.3,33, 9:05:28.492,2024-08-18  9:05:28.492,1723986328492.0,-121.890419,37.705471,78.0,1723986328031.0,1723986329030.0,CA,06001450101,06001450101,1811639,1811639,06001,Alameda County
-13.1,-108.7,33, 9:05:29.041,2024-08-18  9:05:29.041,1723986329041.0,-121.890419,37.705471,78.0,1723986329030.0,1723986330023.0,CA,06001450101,06001450101,1811639,1811639,06001,Alameda County
-10.8,-105.2,33, 9:05:31.230,2024-08-18  9:05:31.230,1723986331230.0,-121.890419,37.705471,78.0,1723986331028.0,1723986332028.0,CA,06001450101,06001450101,1811639,1811639,06001,Alameda County
-13.1,-110.2,33, 9:05:31.880,2024-08-18  9:05:31.880,1723986331880.0,-121.890419,37.705471,78.0,1723986331028.0,1723986332028.0,CA,06001450101,06001450101,1811639,1811639,06001,Alameda County
-15.4,-109.1,33, 9:05:32.532,2024-08-18  9:05:32.532,1723986332532.0,-121.890419,37.705471,78.0,1723986332028.0,1723986333028.0,CA,06001450101,06001450101,1811639,1811639,06001,Alameda County
-15.4,-109.1,33, 9:05:33.525,2024-08-18  9:05:33.525,1723986333525.0,-121.890419,37.705471,78.0,1723986333028.0,1723986334036.0,CA,06001450101,06001450101,1811639,1811639,06001,Alameda County
-12.8,-109.1,33, 9:05:34.480,2024-08-18  9:05:34.480,1723986334480.0,-121.890419,37.705471,78.0,1723986334036.0,1723986335026.0,CA,06001450101,06001450101,1811639,1811639,06001,Alameda County
-11.7,-108.5,33, 9:05:35.763,2024-08-18  9:05:35.763,1723986335763.0,-121.890419,37.705471,78.0,1723986335026.0,1723986336029.0,CA,06001450101,06001450101,1811639,1811639,06001,Alameda County
-10.8,-107.3,33, 9:05:37.644,2024-08-18  9:05:37.644,1723986337644.0,-121.890419,37.705471,78.0,1723986337028.0,1723986338026.0,CA,06001450101,06001450101,1811639,1811639,06001,Alameda County
-9.7,-105.6,33, 9:05:38.723,2024-08-18  9:05:38.723,1723986338723.0,-121.890419,37.705471,78.0,1723986338026.0,1723986339028.0,CA,06001450101,06001450101,1811639,1811639,06001,Alameda County
-10.9,-106.8,33, 9:05:40.314,2024-08-18  9:05:40.314,1723986340314.0,-121.890419,37.705471,78.0,1723986340025.0,1723986341028.0,CA,06001450101,06001450101,1811639,1811639,06001,Alameda County
-10.4,-106.2,33, 9:05:41.564,2024-08-18  9:05:41.564,1723986341564.0,-121.890419,37.705471,78.0,1723986341028.0,1723986342028.0,CA,06001450101,06001450101,1811639,1811639,06001,Alameda County
-10.5,-105.8,33, 9:05:42.566,2024-08-18  9:05:42.566,1723986342566.0,-121.890419,37.705471,78.0,1723986342028.0,1723986343031.0,CA,06001450101,06001450101,1811639,1811639,06001,Alameda County
-9.9,-106.3,33, 9:05:44.312,2024-08-18  9:05:44.312,1723986344312.0,-121.890419,37.705471,78.0,1723986344023.0,1723986345026.0,CA,06001450101,06001450101,1811639,1811639,06001,Alameda County
-11.6,-107.6,33, 9:05:44.815,2024-08-18  9:05:44.815,1723986344815.0,-121.890419,37.705471,78.0,1723986344023.0,1723986345026.0,CA,06001450101,06001450101,1811639,1811639,06001,Alameda County
-11.6,-105.9,33, 9:05:46.674,2024-08-18  9:05:46.674,1723986346674.0,-121.8904138446215,37.705471,78.0,1723986346027.0,1723986347031.0,CA,06001450101,06001450101,1811639,1811639,06001,Alameda County
-13.6,-100.9,33, 9:05:47.998,2024-08-18  9:05:47.998,1723986347998.0,-121.890411,37.705471,77.02323232323232,1723986347031.0,1723986348021.0,CA,06001450101,06001450101,1811639,1811639,06001,Alameda County
-11.0,-101.5,33, 9:05:48.999,2024-08-18  9:05:48.999,1723986348999.0,-121.89040423517788,37.70546713438735,77.0,1723986348021.0,1723986349033.0,CA,06001450101,06001450101,1811639,1811639,06001,Alameda County
-11.4,-98.9,33, 9:05:50.107,2024-08-18  9:05:50.107,1723986350107.0,-121.890411,37.705475,76.91583166332666,1723986350023.0,1723986351021.0,CA,06001450101,06001450101,1811639,1811639,06001,Alameda County
-9.5,-96.3,33, 9:05:50.633,2024-08-18  9:05:50.633,1723986350633.0,-121.890411,37.705475,76.38877755511022,1723986350023.0,1723986351021.0,CA,06001450101,06001450101,1811639,1811639,06001,Alameda County
-10.3,-95.6,33, 9:05:51.231,2024-08-18  9:05:51.231,1723986351231.0,-121.890411,37.705475,76.0,1723986351021.0,1723986352025.0,CA,06001450101,06001450101,1811639,1811639,06001,Alameda County
-10.0,-96.0,33, 9:05:51.999,2024-08-18  9:05:51.999,1723986351999.0,-121.890411,37.705475,76.0,1723986351021.0,1723986352025.0,CA,06001450101,06001450101,1811639,1811639,06001,Alameda County
-10.3,-95.4,33, 9:05:52.520,2024-08-18  9:05:52.520,1723986352520.0,-121.890411,37.705475,75.50351053159478,1723986352025.0,1723986353022.0,CA,06001450101,06001450101,1811639,1811639,06001,Alameda County
-10.1,-96.5,33, 9:05:53.410,2024-08-18  9:05:53.410,1723986353410.0,-121.890411,37.7054765442786,75.0,1723986353022.0,1723986354027.0,CA,06001450101,06001450101,1811639,1811639,06001,Alameda County
-11.0,-97.0,33, 9:05:53.997,2024-08-18  9:05:53.997,1723986353997.0,-121.890411,37.70547888059701,75.0,1723986353022.0,1723986354027.0,CA,06001450101,06001450101,1811639,1811639,06001,Alameda County
-10.7,-97.1,33, 9:05:54.610,2024-08-18  9:05:54.610,1723986354610.0,-121.890411,37.705479,75.0,1723986354027.0,1723986355024.0,CA,06001450101,06001450101,1811639,1811639,06001,Alameda County
-12.0,-97.4,33, 9:05:55.392,2024-08-18  9:05:55.392,1723986355392.0,-121.890411,37.705479,75.0,1723986355024.0,1723986356021.0,CA,06001450101,06001450101,1811639,1811639,06001,Alameda County
-10.5,-97.8,33, 9:05:55.998,2024-08-18  9:05:55.998,1723986355998.0,-121.890411,37.705479,75.0,1723986355024.0,1723986356021.0,CA,06001450101,06001450101,1811639,1811639,06001,Alameda County
-10.9,-97.2,33, 9:05:56.554,2024-08-18  9:05:56.554,1723986356554.0,-121.890411,37.705479,75.0,1723986356021.0,1723986357024.0,CA,06001450101,06001450101,1811639,1811639,06001,Alameda County
-10.9,-98.0,33, 9:05:57.253,2024-08-18  9:05:57.253,1723986357253.0,-121.890411,37.705479,75.0,1723986357024.0,1723986358025.0,CA,06001450101,06001450101,1811639,1811639,06001,Alameda County
-17.8,-108.4,33, 9:05:57.999,2024-08-18  9:05:57.999,1723986357999.0,-121.890411,37.705479,75.0,1723986357024.0,1723986358025.0,CA,06001450101,06001450101,1811639,1811639,06001,Alameda County
-11.2,-100.4,33, 9:05:58.807,2024-08-18  9:05:58.807,1723986358807.0,-121.890411,37.705479,75.0,1723986358025.0,1723986359018.0,CA,06001450101,06001450101,1811639,1811639,06001,Alameda County
-14.7,-96.8,33, 9:05:59.338,2024-08-18  9:05:59.338,1723986359338.0,-121.890411,37.705479,75.0,1723986359018.0,1723986360023.0,CA,06001450101,06001450101,1811639,1811639,06001,Alameda County
-10.4,-97.3,33, 9:05:59.942,2024-08-18  9:05:59.942,1723986359942.0,-121.890411,37.705479,75.0,1723986359018.0,1723986360023.0,CA,06001450101,06001450101,1811639,1811639,06001,Alameda County
-10.4,-97.2,33, 9:06:00.598,2024-08-18  9:06:00.598,1723986360598.0,-121.890411,37.705479,75.0,1723986360023.0,1723986361017.0,CA,06001450101,06001450101,1811639,1811639,06001,Alameda County
-11.6,-97.2,33, 9:06:01.283,2024-08-18  9:06:01.283,1723986361283.0,-121.890411,37.705479,75.0,1723986361017.0,1723986362021.0,CA,06001450101,06001450101,1811639,1811639,06001,Alameda County
-13.0,-98.0,33, 9:06:01.851,2024-08-18  9:06:01.851,1723986361851.0,-121.890411,37.705479,75.0,1723986361017.0,1723986362021.0,CA,06001450101,06001450101,1811639,1811639,06001,Alameda County
-11.8,-97.7,33, 9:06:02.515,2024-08-18  9:06:02.515,1723986362515.0,-121.890411,37.705479,75.0,1723986362021.0,1723986363026.0,CA,06001450101,06001450101,1811639,1811639,06001,Alameda County
-11.0,-98.4,33, 9:06:03.102,2024-08-18  9:06:03.102,1723986363102.0,-121.890411,37.705479,75.0,1723986363026.0,1723986364032.0,CA,06001450101,06001450101,1811639,1811639,06001,Alameda County
-10.9,-98.7,33, 9:06:03.853,2024-08-18  9:06:03.853,1723986363853.0,-121.890411,37.705479,75.0,1723986363026.0,1723986364032.0,CA,06001450101,06001450101,1811639,1811639,06001,Alameda County
-11.5,-98.7,33, 9:06:04.440,2024-08-18  9:06:04.440,1723986364440.0,-121.890411,37.705479,75.0,1723986364032.0,1723986365023.0,CA,06001450101,06001450101,1811639,1811639,06001,Alameda County
-13.2,-97.4,33, 9:06:04.998,2024-08-18  9:06:04.998,1723986364998.0,-121.890411,37.705479,75.0,1723986364032.0,1723986365023.0,CA,06001450101,06001450101,1811639,1811639,06001,Alameda County
-11.4,-96.9,33, 9:06:05.507,2024-08-18  9:06:05.507,1723986365507.0,-121.890411,37.705479,75.0,1723986365023.0,1723986366028.0,CA,06001450101,06001450101,1811639,1811639,06001,Alameda County
-14.6,-102.6,33, 9:06:06.293,2024-08-18  9:06:06.293,1723986366293.0,-121.890411,37.705479,75.0,1723986366028.0,1723986367031.0,CA,06001450101,06001450101,1811639,1811639,06001,Alameda County
-12.9,-98.6,33, 9:06:08.545,2024-08-18  9:06:08.545,1723986368545.0,-121.890411,37.705479,75.0,1723986368029.0,1723986369026.0,CA,06001450101,06001450101,1811639,1811639,06001,Alameda County
-10.9,-98.1,33, 9:06:09.448,2024-08-18  9:06:09.448,1723986369448.0,-121.890411,37.705479,75.0,1723986369026.0,1723986370023.0,CA,06001450101,06001450101,1811639,1811639,06001,Alameda County
-11.6,-97.9,33, 9:06:09.999,2024-08-18  9:06:09.999,1723986369999.0,-121.890411,37.705479,75.0,1723986369026.0,1723986370023.0,CA,06001450101,06001450101,1811639,1811639,06001,Alameda County
-10.7,-96.9,33, 9:06:11.999,2024-08-18  9:06:11.999,1723986371999.0,-121.890411,37.705479,75.0,1723986371030.0,1723986372029.0,CA,06001450101,06001450101,1811639,1811639,06001,Alameda County
-10.6,-96.8,33, 9:06:13.543,2024-08-18  9:06:13.543,1723986373543.0,-121.890411,37.705480553892215,75.0,1723986373024.0,1723986374026.0,CA,06001450101,06001450101,1811639,1811639,06001,Alameda County
-11.4,-97.3,33, 9:06:14.297,2024-08-18  9:06:14.297,1723986374297.0,-121.890411,37.705482,75.0,1723986374026.0,1723986375023.0,CA,06001450101,06001450101,1811639,1811639,06001,Alameda County
-11.7,-97.0,33, 9:06:15.793,2024-08-18  9:06:15.793,1723986375793.0,-121.890411,37.705482,75.0,1723986375023.0,1723986376031.0,CA,06001450101,06001450101,1811639,1811639,06001,Alameda County
-10.6,-97.4,33, 9:06:17.293,2024-08-18  9:06:17.293,1723986377293.0,-121.890411,37.705482,75.0,1723986377024.0,1723986378026.0,CA,06001450101,06001450101,1811639,1811639,06001,Alameda County
-11.1,-97.3,33, 9:06:18.000,2024-08-18  9:06:18.000,1723986378000.0,-121.890411,37.705482,75.0,1723986377024.0,1723986378026.0,CA,06001450101,06001450101,1811639,1811639,06001,Alameda County
-10.8,-97.4,33, 9:06:19.494,2024-08-18  9:06:19.494,1723986379494.0,-121.890411,37.705482,75.0,1723986379033.0,1723986380029.0,CA,06001450101,06001450101,1811639,1811639,06001,Alameda County
-11.3,-98.4,33, 9:06:21.001,2024-08-18  9:06:21.001,1723986381001.0,-121.890411,37.705482,75.0,1723986380029.0,1723986381028.0,CA,06001450101,06001450101,1811639,1811639,06001,Alameda County
-10.4,-97.1,33, 9:06:21.539,2024-08-18  9:06:21.539,1723986381539.0,-121.890411,37.705482,75.0,1723986381028.0,1723986382031.0,CA,06001450101,06001450101,1811639,1811639,06001,Alameda County
-10.6,-96.7,33, 9:06:22.050,2024-08-18  9:06:22.050,1723986382050.0,-121.890411,37.705482,75.0,1723986382031.0,1723986383027.0,CA,06001450101,06001450101,1811639,1811639,06001,Alameda County
-10.5,-96.9,33, 9:06:22.736,2024-08-18  9:06:22.736,1723986382736.0,-121.890411,37.705482,75.0,1723986382031.0,1723986383027.0,CA,06001450101,06001450101,1811639,1811639,06001,Alameda County
-11.1,-96.7,33, 9:06:23.242,2024-08-18  9:06:23.242,1723986383242.0,-121.890411,37.705482,75.0,1723986383027.0,1723986384018.0,CA,06001450101,06001450101,1811639,1811639,06001,Alameda County
-11.2,-97.1,33, 9:06:23.979,2024-08-18  9:06:23.979,1723986383979.0,-121.890411,37.705482,75.0,1723986383027.0,1723986384018.0,CA,06001450101,06001450101,1811639,1811639,06001,Alameda County
-11.5,-97.6,33, 9:06:24.943,2024-08-18  9:06:24.943,1723986384943.0,-121.890411,37.705482,75.0,1723986384018.0,1723986385028.0,CA,06001450101,06001450101,1811639,1811639,06001,Alameda County
-11.1,-97.2,33, 9:06:25.475,2024-08-18  9:06:25.475,1723986385475.0,-121.890411,37.705482,75.0,1723986385028.0,1723986386029.0,CA,06001450101,06001450101,1811639,1811639,06001,Alameda County
-11.1,-97.3,33, 9:06:26.225,2024-08-18  9:06:26.225,1723986386225.0,-121.890411,37.705482,75.0,1723986386029.0,1723986387030.0,CA,06001450101,06001450101,1811639,1811639,06001,Alameda County
-11.1,-97.3,33, 9:06:26.904,2024-08-18  9:06:26.904,1723986386904.0,-121.890411,37.705482,75.0,1723986386029.0,1723986387030.0,CA,06001450101,06001450101,1811639,1811639,06001,Alameda County
-10.8,-97.6,33, 9:06:27.410,2024-08-18  9:06:27.410,1723986387410.0,-121.890411,37.705482,75.0,1723986387030.0,1723986388025.0,CA,06001450101,06001450101,1811639,1811639,06001,Alameda County
-10.9,-97.4,33, 9:06:28.145,2024-08-18  9:06:28.145,1723986388145.0,-121.890411,37.705482,75.0,1723986388025.0,1723986389031.0,CA,06001450101,06001450101,1811639,1811639,06001,Alameda County
-15.6,-102.7,33, 9:06:28.678,2024-08-18  9:06:28.678,1723986388678.0,-121.890411,37.705482,75.0,1723986388025.0,1723986389031.0,CA,06001450101,06001450101,1811639,1811639,06001,Alameda County
-11.9,-99.9,33, 9:06:29.202,2024-08-18  9:06:29.202,1723986389202.0,-121.890411,37.705482,75.0,1723986389031.0,1723986390021.0,CA,06001450101,06001450101,1811639,1811639,06001,Alameda County
-10.6,-98.9,33, 9:06:31.572,2024-08-18  9:06:31.572,1723986391572.0,-121.890411,37.705482,75.0,1723986391028.0,1723986392027.0,CA,06001450101,06001450101,1811639,1811639,06001,Alameda County
-11.4,-98.3,33, 9:06:32.412,2024-08-18  9:06:32.412,1723986392412.0,-121.890411,37.705482,75.0,1723986392027.0,1723986393028.0,CA,06001450101,06001450101,1811639,1811639,06001,Alameda County
-15.4,-101.2,33, 9:06:33.412,2024-08-18  9:06:33.412,1723986393412.0,-121.890411,37.705482,75.0,1723986393028.0,1723986394015.0,CA,06001450101,06001450101,1811639,1811639,06001,Alameda County
-16.6,-96.3,33, 9:06:34.662,2024-08-18  9:06:34.662,1723986394662.0,-121.890411,37.705482,75.0,1723986394015.0,1723986395020.0,CA,06001450101,06001450101,1811639,1811639,06001,Alameda County
-14.5,-97.8,33, 9:06:35.206,2024-08-18  9:06:35.206,1723986395206.0,-121.890411,37.705482,75.0,1723986395020.0,1723986396027.0,CA,06001450101,06001450101,1811639,1811639,06001,Alameda County
-13.9,-98.8,33, 9:06:35.809,2024-08-18  9:06:35.809,1723986395809.0,-121.890411,37.705482,75.0,1723986395020.0,1723986396027.0,CA,06001450101,06001450101,1811639,1811639,06001,Alameda County
-15.3,-99.1,33, 9:06:36.464,2024-08-18  9:06:36.464,1723986396464.0,-121.890411,37.70547896828543,74.56689791873141,1723986396027.0,1723986397036.0,CA,06001450101,06001450101,1811639,1811639,06001,Alameda County
-15.0,-98.1,33, 9:06:37.192,2024-08-18  9:06:37.192,1723986397192.0,-121.890411,37.70547373811931,74.1577350859454,1723986397036.0,1723986398025.0,CA,06001450101,06001450101,1811639,1811639,06001,Alameda County
-15.1,-92.9,33, 9:06:37.798,2024-08-18  9:06:37.798,1723986397798.0,-121.890411,37.70546883619818,74.77047522750253,1723986397036.0,1723986398025.0,CA,06001450101,06001450101,1811639,1811639,06001,Alameda County
-12.3,-90.3,33, 9:06:38.302,2024-08-18  9:06:38.302,1723986398302.0,-121.890411,37.70546395908183,75.0,1723986398025.0,1723986399027.0,CA,06001450101,06001450101,1811639,1811639,06001,Alameda County
-11.5,-92.8,33, 9:06:38.811,2024-08-18  9:06:38.811,1723986398811.0,-121.890411,37.705458371257485,75.0,1723986398025.0,1723986399027.0,CA,06001450101,06001450101,1811639,1811639,06001,Alameda County
-16.3,-91.5,33, 9:06:39.640,2024-08-18  9:06:39.640,1723986399640.0,-121.89041592369476,37.70544861445783,75.0,1723986399027.0,1723986400023.0,CA,06001450101,06001450101,1811639,1811639,06001,Alameda County
-11.5,-98.3,33, 9:06:40.305,2024-08-18  9:06:40.305,1723986400305.0,-121.890421256,37.705442026,75.0,1723986400023.0,1723986401023.0,CA,06001450101,06001450101,1811639,1811639,06001,Alameda County
-11.1,-98.4,33, 9:06:40.923,2024-08-18  9:06:40.923,1723986400923.0,-121.8904262,37.7054377,75.0,1723986400023.0,1723986401023.0,CA,06001450101,06001450101,1811639,1811639,06001,Alameda County
-16.0,-99.1,33, 9:06:41.681,2024-08-18  9:06:41.681,1723986401681.0,-121.8904315876494,37.70543437848605,75.0,1723986401023.0,1723986402027.0,CA,06001450101,06001450101,1811639,1811639,06001,Alameda County
-14.8,-97.1,33, 9:06:42.412,2024-08-18  9:06:42.412,1723986402412.0,-121.89043709547738,37.70543145226131,75.0,1723986402027.0,1723986403022.0,CA,06001450101,06001450101,1811639,1811639,06001,Alameda County
-9.8,-98.6,33, 9:06:43.804,2024-08-18  9:06:43.804,1723986403804.0,-121.890442,37.705429,75.0,1723986403022.0,1723986404024.0,CA,06001450101,06001450101,1811639,1811639,06001,Alameda County
-13.6,-96.4,33, 9:06:45.416,2024-08-18  9:06:45.416,1723986405416.0,-121.8904361533066,37.705429,75.0,1723986405027.0,1723986406025.0,CA,06001450101,06001450101,1811639,1811639,06001,Alameda County
-12.9,-97.1,33, 9:06:45.922,2024-08-18  9:06:45.922,1723986405922.0,-121.8904285480962,37.705429,75.0,1723986405027.0,1723986406025.0,CA,06001450101,06001450101,1811639,1811639,06001,Alameda County
