technology,dbm,rssnr,rsrp,rsrq,rssi,cqi,asu,earfcn,pci,ta,ci,tac,level,bandwidth,bands,modes,bands_description,mcc,mnc,is_connected,phone_abs_time,rel_time,time_readable,longitude,latitude,altitude,interp_latitude,interp_longitude,interp_altitude
4G_LTE,-128,2147483647,-128,-20,-95,2147483647,12,66986,497,2147483647,2147483647,2147483647,0,2147483647,[66],[FDD],"Band Number = 66, Uplink = 1710.0 - 1780.0 MHz, Downlink = 1710.0 - 1780.0 MHz ",Unavailable,Unavailable,0,1723951109926,3.043968645,2024-08-17 23:18:29.926000,-121.9479709,37.3931231,-24.899999618530277,37.3931231,-121.9479709,-24.899999618530277
4G_LTE,-115,2147483647,-115,-11,-95,2147483647,25,5330,471,2147483647,2147483647,2147483647,1,2147483647,[14],[FDD],"Band Number = 14, Uplink = 788.0 - 798.0 MHz, Downlink = 788.0 - 798.0 MHz ",Unavailable,Unavailable,0,1723951109926,3.043968645,2024-08-17 23:18:29.926000,-121.9479709,37.3931231,-24.899999618530277,37.3931231,-121.9479709,-24.899999618530277
4G_LTE,-119,2147483647,-119,-13,-95,2147483647,21,5330,147,2147483647,2147483647,2147483647,0,2147483647,[14],[FDD],"Band Number = 14, Uplink = 788.0 - 798.0 MHz, Downlink = 788.0 - 798.0 MHz ",Unavailable,Unavailable,0,1723951109926,3.043968645,2024-08-17 23:18:29.926000,-121.9479709,37.3931231,-24.899999618530277,37.3931231,-121.9479709,-24.899999618530277
4G_LTE,-105,2147483647,-105,-9,-87,2147483647,35,5035,87,2147483647,2147483647,2147483647,2,2147483647,[12],[FDD],"Band Number = 12, Uplink = 698.0 - 716.0 MHz, Downlink = 699.0 - 716.0 MHz ",Unavailable,Unavailable,0,1723951109926,3.043968645,2024-08-17 23:18:29.926000,-121.9479709,37.3931231,-24.899999618530277,37.3931231,-121.9479709,-24.899999618530277
4G_LTE,-110,2147483647,-110,-14,-87,2147483647,30,5035,129,2147483647,2147483647,2147483647,1,2147483647,[12],[FDD],"Band Number = 12, Uplink = 698.0 - 716.0 MHz, Downlink = 699.0 - 716.0 MHz ",Unavailable,Unavailable,0,1723951109926,3.043968645,2024-08-17 23:18:29.926000,-121.9479709,37.3931231,-24.899999618530277,37.3931231,-121.9479709,-24.899999618530277
4G_LTE,-115,2147483647,-115,-19,-87,2147483647,25,5035,231,2147483647,2147483647,2147483647,1,2147483647,[12],[FDD],"Band Number = 12, Uplink = 698.0 - 716.0 MHz, Downlink = 699.0 - 716.0 MHz ",Unavailable,Unavailable,0,1723951109926,3.043968645,2024-08-17 23:18:29.926000,-121.9479709,37.3931231,-24.899999618530277,37.3931231,-121.9479709,-24.899999618530277
4G_LTE,-117,2147483647,-117,-13,-87,2147483647,23,66986,102,2147483647,169470393,35653,0,2147483647,[66],[FDD],"Band Number = 66, Uplink = 1710.0 - 1780.0 MHz, Downlink = 1710.0 - 1780.0 MHz ",310,410,1,1723951110928,4.044272394,2024-08-17 23:18:30.928000,-121.9479709,37.3931231,-24.899999618530277,37.3931231,-121.9479709,-24.899999618530277
4G_LTE,-128,2147483647,-128,-20,-95,2147483647,12,66986,497,2147483647,2147483647,2147483647,0,2147483647,[66],[FDD],"Band Number = 66, Uplink = 1710.0 - 1780.0 MHz, Downlink = 1710.0 - 1780.0 MHz ",Unavailable,Unavailable,0,1723951110928,4.044272394,2024-08-17 23:18:30.928000,-121.9479709,37.3931231,-24.899999618530277,37.3931231,-121.9479709,-24.899999618530277
4G_LTE,-115,2147483647,-115,-11,-95,2147483647,25,5330,471,2147483647,2147483647,2147483647,1,2147483647,[14],[FDD],"Band Number = 14, Uplink = 788.0 - 798.0 MHz, Downlink = 788.0 - 798.0 MHz ",Unavailable,Unavailable,0,1723951110928,4.044272394,2024-08-17 23:18:30.928000,-121.9479709,37.3931231,-24.899999618530277,37.3931231,-121.9479709,-24.899999618530277
4G_LTE,-119,2147483647,-119,-13,-95,2147483647,21,5330,147,2147483647,2147483647,2147483647,0,2147483647,[14],[FDD],"Band Number = 14, Uplink = 788.0 - 798.0 MHz, Downlink = 788.0 - 798.0 MHz ",Unavailable,Unavailable,0,1723951110928,4.044272394,2024-08-17 23:18:30.928000,-121.9479709,37.3931231,-24.899999618530277,37.3931231,-121.9479709,-24.899999618530277
4G_LTE,-105,2147483647,-105,-9,-87,2147483647,35,5035,87,2147483647,2147483647,2147483647,2,2147483647,[12],[FDD],"Band Number = 12, Uplink = 698.0 - 716.0 MHz, Downlink = 699.0 - 716.0 MHz ",Unavailable,Unavailable,0,1723951110928,4.044272394,2024-08-17 23:18:30.928000,-121.9479709,37.3931231,-24.899999618530277,37.3931231,-121.9479709,-24.899999618530277
4G_LTE,-110,2147483647,-110,-14,-87,2147483647,30,5035,129,2147483647,2147483647,2147483647,1,2147483647,[12],[FDD],"Band Number = 12, Uplink = 698.0 - 716.0 MHz, Downlink = 699.0 - 716.0 MHz ",Unavailable,Unavailable,0,1723951110928,4.044272394,2024-08-17 23:18:30.928000,-121.9479709,37.3931231,-24.899999618530277,37.3931231,-121.9479709,-24.899999618530277
4G_LTE,-115,2147483647,-115,-19,-87,2147483647,25,5035,231,2147483647,2147483647,2147483647,1,2147483647,[12],[FDD],"Band Number = 12, Uplink = 698.0 - 716.0 MHz, Downlink = 699.0 - 716.0 MHz ",Unavailable,Unavailable,0,1723951110928,4.044272394,2024-08-17 23:18:30.928000,-121.9479709,37.3931231,-24.899999618530277,37.3931231,-121.9479709,-24.899999618530277
4G_LTE,-117,2147483647,-117,-13,-87,2147483647,23,66986,102,2147483647,169470393,35653,0,2147483647,[66],[FDD],"Band Number = 66, Uplink = 1710.0 - 1780.0 MHz, Downlink = 1710.0 - 1780.0 MHz ",310,410,1,1723951111929,5.04534729,2024-08-17 23:18:31.929000,-121.9479709,37.3931231,-24.899999618530277,37.3931231,-121.9479709,-24.899999618530277
4G_LTE,-128,2147483647,-128,-20,-95,2147483647,12,66986,497,2147483647,2147483647,2147483647,0,2147483647,[66],[FDD],"Band Number = 66, Uplink = 1710.0 - 1780.0 MHz, Downlink = 1710.0 - 1780.0 MHz ",Unavailable,Unavailable,0,1723951111929,5.04534729,2024-08-17 23:18:31.929000,-121.9479709,37.3931231,-24.899999618530277,37.3931231,-121.9479709,-24.899999618530277
4G_LTE,-115,2147483647,-115,-11,-95,2147483647,25,5330,471,2147483647,2147483647,2147483647,1,2147483647,[14],[FDD],"Band Number = 14, Uplink = 788.0 - 798.0 MHz, Downlink = 788.0 - 798.0 MHz ",Unavailable,Unavailable,0,1723951111929,5.04534729,2024-08-17 23:18:31.929000,-121.9479709,37.3931231,-24.899999618530277,37.3931231,-121.9479709,-24.899999618530277
4G_LTE,-119,2147483647,-119,-13,-95,2147483647,21,5330,147,2147483647,2147483647,2147483647,0,2147483647,[14],[FDD],"Band Number = 14, Uplink = 788.0 - 798.0 MHz, Downlink = 788.0 - 798.0 MHz ",Unavailable,Unavailable,0,1723951111929,5.04534729,2024-08-17 23:18:31.929000,-121.9479709,37.3931231,-24.899999618530277,37.3931231,-121.9479709,-24.899999618530277
4G_LTE,-105,2147483647,-105,-9,-87,2147483647,35,5035,87,2147483647,2147483647,2147483647,2,2147483647,[12],[FDD],"Band Number = 12, Uplink = 698.0 - 716.0 MHz, Downlink = 699.0 - 716.0 MHz ",Unavailable,Unavailable,0,1723951111929,5.04534729,2024-08-17 23:18:31.929000,-121.9479709,37.3931231,-24.899999618530277,37.3931231,-121.9479709,-24.899999618530277
4G_LTE,-110,2147483647,-110,-14,-87,2147483647,30,5035,129,2147483647,2147483647,2147483647,1,2147483647,[12],[FDD],"Band Number = 12, Uplink = 698.0 - 716.0 MHz, Downlink = 699.0 - 716.0 MHz ",Unavailable,Unavailable,0,1723951111929,5.04534729,2024-08-17 23:18:31.929000,-121.9479709,37.3931231,-24.899999618530277,37.3931231,-121.9479709,-24.899999618530277
4G_LTE,-115,2147483647,-115,-19,-87,2147483647,25,5035,231,2147483647,2147483647,2147483647,1,2147483647,[12],[FDD],"Band Number = 12, Uplink = 698.0 - 716.0 MHz, Downlink = 699.0 - 716.0 MHz ",Unavailable,Unavailable,0,1723951111929,5.04534729,2024-08-17 23:18:31.929000,-121.9479709,37.3931231,-24.899999618530277,37.3931231,-121.9479709,-24.899999618530277
4G_LTE,-117,2147483647,-117,-13,-87,2147483647,23,66986,102,2147483647,169470393,35653,0,2147483647,[66],[FDD],"Band Number = 66, Uplink = 1710.0 - 1780.0 MHz, Downlink = 1710.0 - 1780.0 MHz ",310,410,1,1723951112927,6.045003487,2024-08-17 23:18:32.927000,-121.9479709,37.3931231,-24.899999618530277,37.3931231,-121.9479709,-24.899999618530277
4G_LTE,-128,2147483647,-128,-20,-95,2147483647,12,66986,497,2147483647,2147483647,2147483647,0,2147483647,[66],[FDD],"Band Number = 66, Uplink = 1710.0 - 1780.0 MHz, Downlink = 1710.0 - 1780.0 MHz ",Unavailable,Unavailable,0,1723951112927,6.045003487,2024-08-17 23:18:32.927000,-121.9479709,37.3931231,-24.899999618530277,37.3931231,-121.9479709,-24.899999618530277
4G_LTE,-115,2147483647,-115,-11,-95,2147483647,25,5330,471,2147483647,2147483647,2147483647,1,2147483647,[14],[FDD],"Band Number = 14, Uplink = 788.0 - 798.0 MHz, Downlink = 788.0 - 798.0 MHz ",Unavailable,Unavailable,0,1723951112927,6.045003487,2024-08-17 23:18:32.927000,-121.9479709,37.3931231,-24.899999618530277,37.3931231,-121.9479709,-24.899999618530277
4G_LTE,-119,2147483647,-119,-13,-95,2147483647,21,5330,147,2147483647,2147483647,2147483647,0,2147483647,[14],[FDD],"Band Number = 14, Uplink = 788.0 - 798.0 MHz, Downlink = 788.0 - 798.0 MHz ",Unavailable,Unavailable,0,1723951112927,6.045003487,2024-08-17 23:18:32.927000,-121.9479709,37.3931231,-24.899999618530277,37.3931231,-121.9479709,-24.899999618530277
4G_LTE,-105,2147483647,-105,-9,-87,2147483647,35,5035,87,2147483647,2147483647,2147483647,2,2147483647,[12],[FDD],"Band Number = 12, Uplink = 698.0 - 716.0 MHz, Downlink = 699.0 - 716.0 MHz ",Unavailable,Unavailable,0,1723951112927,6.045003487,2024-08-17 23:18:32.927000,-121.9479709,37.3931231,-24.899999618530277,37.3931231,-121.9479709,-24.899999618530277
4G_LTE,-110,2147483647,-110,-14,-87,2147483647,30,5035,129,2147483647,2147483647,2147483647,1,2147483647,[12],[FDD],"Band Number = 12, Uplink = 698.0 - 716.0 MHz, Downlink = 699.0 - 716.0 MHz ",Unavailable,Unavailable,0,1723951112927,6.045003487,2024-08-17 23:18:32.927000,-121.9479709,37.3931231,-24.899999618530277,37.3931231,-121.9479709,-24.899999618530277
4G_LTE,-115,2147483647,-115,-19,-87,2147483647,25,5035,231,2147483647,2147483647,2147483647,1,2147483647,[12],[FDD],"Band Number = 12, Uplink = 698.0 - 716.0 MHz, Downlink = 699.0 - 716.0 MHz ",Unavailable,Unavailable,0,1723951112927,6.045003487,2024-08-17 23:18:32.927000,-121.9479709,37.3931231,-24.899999618530277,37.3931231,-121.9479709,-24.899999618530277
4G_LTE,-117,2147483647,-117,-13,-87,2147483647,23,66986,102,2147483647,169470393,35653,0,2147483647,[66],[FDD],"Band Number = 66, Uplink = 1710.0 - 1780.0 MHz, Downlink = 1710.0 - 1780.0 MHz ",310,410,1,1723951113932,7.04814656,2024-08-17 23:18:33.932000,-121.9479709,37.3931231,-24.899999618530277,37.3931231,-121.9479709,-24.899999618530277
4G_LTE,-128,2147483647,-128,-20,-95,2147483647,12,66986,497,2147483647,2147483647,2147483647,0,2147483647,[66],[FDD],"Band Number = 66, Uplink = 1710.0 - 1780.0 MHz, Downlink = 1710.0 - 1780.0 MHz ",Unavailable,Unavailable,0,1723951113932,7.04814656,2024-08-17 23:18:33.932000,-121.9479709,37.3931231,-24.899999618530277,37.3931231,-121.9479709,-24.899999618530277
4G_LTE,-115,2147483647,-115,-11,-95,2147483647,25,5330,471,2147483647,2147483647,2147483647,1,2147483647,[14],[FDD],"Band Number = 14, Uplink = 788.0 - 798.0 MHz, Downlink = 788.0 - 798.0 MHz ",Unavailable,Unavailable,0,1723951113932,7.04814656,2024-08-17 23:18:33.932000,-121.9479709,37.3931231,-24.899999618530277,37.3931231,-121.9479709,-24.899999618530277
4G_LTE,-119,2147483647,-119,-13,-95,2147483647,21,5330,147,2147483647,2147483647,2147483647,0,2147483647,[14],[FDD],"Band Number = 14, Uplink = 788.0 - 798.0 MHz, Downlink = 788.0 - 798.0 MHz ",Unavailable,Unavailable,0,1723951113932,7.04814656,2024-08-17 23:18:33.932000,-121.9479709,37.3931231,-24.899999618530277,37.3931231,-121.9479709,-24.899999618530277
4G_LTE,-105,2147483647,-105,-9,-87,2147483647,35,5035,87,2147483647,2147483647,2147483647,2,2147483647,[12],[FDD],"Band Number = 12, Uplink = 698.0 - 716.0 MHz, Downlink = 699.0 - 716.0 MHz ",Unavailable,Unavailable,0,1723951113932,7.04814656,2024-08-17 23:18:33.932000,-121.9479709,37.3931231,-24.899999618530277,37.3931231,-121.9479709,-24.899999618530277
4G_LTE,-110,2147483647,-110,-14,-87,2147483647,30,5035,129,2147483647,2147483647,2147483647,1,2147483647,[12],[FDD],"Band Number = 12, Uplink = 698.0 - 716.0 MHz, Downlink = 699.0 - 716.0 MHz ",Unavailable,Unavailable,0,1723951113932,7.04814656,2024-08-17 23:18:33.932000,-121.9479709,37.3931231,-24.899999618530277,37.3931231,-121.9479709,-24.899999618530277
4G_LTE,-115,2147483647,-115,-19,-87,2147483647,25,5035,231,2147483647,2147483647,2147483647,1,2147483647,[12],[FDD],"Band Number = 12, Uplink = 698.0 - 716.0 MHz, Downlink = 699.0 - 716.0 MHz ",Unavailable,Unavailable,0,1723951113932,7.04814656,2024-08-17 23:18:33.932000,-121.9479709,37.3931231,-24.899999618530277,37.3931231,-121.9479709,-24.899999618530277
4G_LTE,-117,2147483647,-117,-13,-87,2147483647,23,66986,102,2147483647,169470393,35653,0,2147483647,[66],[FDD],"Band Number = 66, Uplink = 1710.0 - 1780.0 MHz, Downlink = 1710.0 - 1780.0 MHz ",310,410,1,1723951114933,8.049812601,2024-08-17 23:18:34.933000,-121.9479709,37.3931231,-24.899999618530277,37.3931231,-121.9479709,-24.899999618530277
4G_LTE,-128,2147483647,-128,-20,-95,2147483647,12,66986,497,2147483647,2147483647,2147483647,0,2147483647,[66],[FDD],"Band Number = 66, Uplink = 1710.0 - 1780.0 MHz, Downlink = 1710.0 - 1780.0 MHz ",Unavailable,Unavailable,0,1723951114933,8.049812601,2024-08-17 23:18:34.933000,-121.9479709,37.3931231,-24.899999618530277,37.3931231,-121.9479709,-24.899999618530277
4G_LTE,-115,2147483647,-115,-11,-95,2147483647,25,5330,471,2147483647,2147483647,2147483647,1,2147483647,[14],[FDD],"Band Number = 14, Uplink = 788.0 - 798.0 MHz, Downlink = 788.0 - 798.0 MHz ",Unavailable,Unavailable,0,1723951114933,8.049812601,2024-08-17 23:18:34.933000,-121.9479709,37.3931231,-24.899999618530277,37.3931231,-121.9479709,-24.899999618530277
4G_LTE,-119,2147483647,-119,-13,-95,2147483647,21,5330,147,2147483647,2147483647,2147483647,0,2147483647,[14],[FDD],"Band Number = 14, Uplink = 788.0 - 798.0 MHz, Downlink = 788.0 - 798.0 MHz ",Unavailable,Unavailable,0,1723951114933,8.049812601,2024-08-17 23:18:34.933000,-121.9479709,37.3931231,-24.899999618530277,37.3931231,-121.9479709,-24.899999618530277
4G_LTE,-105,2147483647,-105,-9,-87,2147483647,35,5035,87,2147483647,2147483647,2147483647,2,2147483647,[12],[FDD],"Band Number = 12, Uplink = 698.0 - 716.0 MHz, Downlink = 699.0 - 716.0 MHz ",Unavailable,Unavailable,0,1723951114933,8.049812601,2024-08-17 23:18:34.933000,-121.9479709,37.3931231,-24.899999618530277,37.3931231,-121.9479709,-24.899999618530277
4G_LTE,-110,2147483647,-110,-14,-87,2147483647,30,5035,129,2147483647,2147483647,2147483647,1,2147483647,[12],[FDD],"Band Number = 12, Uplink = 698.0 - 716.0 MHz, Downlink = 699.0 - 716.0 MHz ",Unavailable,Unavailable,0,1723951114933,8.049812601,2024-08-17 23:18:34.933000,-121.9479709,37.3931231,-24.899999618530277,37.3931231,-121.9479709,-24.899999618530277
4G_LTE,-115,2147483647,-115,-19,-87,2147483647,25,5035,231,2147483647,2147483647,2147483647,1,2147483647,[12],[FDD],"Band Number = 12, Uplink = 698.0 - 716.0 MHz, Downlink = 699.0 - 716.0 MHz ",Unavailable,Unavailable,0,1723951114933,8.049812601,2024-08-17 23:18:34.933000,-121.9479709,37.3931231,-24.899999618530277,37.3931231,-121.9479709,-24.899999618530277
4G_LTE,-117,2147483647,-117,-13,-87,2147483647,23,66986,102,2147483647,169470393,35653,0,2147483647,[66],[FDD],"Band Number = 66, Uplink = 1710.0 - 1780.0 MHz, Downlink = 1710.0 - 1780.0 MHz ",310,410,1,1723951115936,9.052828903,2024-08-17 23:18:35.936000,-121.9479709,37.3931231,-24.899999618530277,37.3931231,-121.9479709,-24.899999618530277
4G_LTE,-128,2147483647,-128,-20,-95,2147483647,12,66986,497,2147483647,2147483647,2147483647,0,2147483647,[66],[FDD],"Band Number = 66, Uplink = 1710.0 - 1780.0 MHz, Downlink = 1710.0 - 1780.0 MHz ",Unavailable,Unavailable,0,1723951115936,9.052828903,2024-08-17 23:18:35.936000,-121.9479709,37.3931231,-24.899999618530277,37.3931231,-121.9479709,-24.899999618530277
4G_LTE,-115,2147483647,-115,-11,-95,2147483647,25,5330,471,2147483647,2147483647,2147483647,1,2147483647,[14],[FDD],"Band Number = 14, Uplink = 788.0 - 798.0 MHz, Downlink = 788.0 - 798.0 MHz ",Unavailable,Unavailable,0,1723951115936,9.052828903,2024-08-17 23:18:35.936000,-121.9479709,37.3931231,-24.899999618530277,37.3931231,-121.9479709,-24.899999618530277
4G_LTE,-119,2147483647,-119,-13,-95,2147483647,21,5330,147,2147483647,2147483647,2147483647,0,2147483647,[14],[FDD],"Band Number = 14, Uplink = 788.0 - 798.0 MHz, Downlink = 788.0 - 798.0 MHz ",Unavailable,Unavailable,0,1723951115936,9.052828903,2024-08-17 23:18:35.936000,-121.9479709,37.3931231,-24.899999618530277,37.3931231,-121.9479709,-24.899999618530277
4G_LTE,-105,2147483647,-105,-9,-87,2147483647,35,5035,87,2147483647,2147483647,2147483647,2,2147483647,[12],[FDD],"Band Number = 12, Uplink = 698.0 - 716.0 MHz, Downlink = 699.0 - 716.0 MHz ",Unavailable,Unavailable,0,1723951115936,9.052828903,2024-08-17 23:18:35.936000,-121.9479709,37.3931231,-24.899999618530277,37.3931231,-121.9479709,-24.899999618530277
4G_LTE,-110,2147483647,-110,-14,-87,2147483647,30,5035,129,2147483647,2147483647,2147483647,1,2147483647,[12],[FDD],"Band Number = 12, Uplink = 698.0 - 716.0 MHz, Downlink = 699.0 - 716.0 MHz ",Unavailable,Unavailable,0,1723951115936,9.052828903,2024-08-17 23:18:35.936000,-121.9479709,37.3931231,-24.899999618530277,37.3931231,-121.9479709,-24.899999618530277
4G_LTE,-115,2147483647,-115,-19,-87,2147483647,25,5035,231,2147483647,2147483647,2147483647,1,2147483647,[12],[FDD],"Band Number = 12, Uplink = 698.0 - 716.0 MHz, Downlink = 699.0 - 716.0 MHz ",Unavailable,Unavailable,0,1723951115936,9.052828903,2024-08-17 23:18:35.936000,-121.9479709,37.3931231,-24.899999618530277,37.3931231,-121.9479709,-24.899999618530277
4G_LTE,-117,2147483647,-117,-13,-87,2147483647,23,66986,102,2147483647,169470393,35653,0,2147483647,[66],[FDD],"Band Number = 66, Uplink = 1710.0 - 1780.0 MHz, Downlink = 1710.0 - 1780.0 MHz ",310,410,1,1723951116932,10.049584423,2024-08-17 23:18:36.932000,-121.9479709,37.3931231,-24.899999618530277,37.3931231,-121.9479709,-24.899999618530277
4G_LTE,-128,2147483647,-128,-20,-95,2147483647,12,66986,497,2147483647,2147483647,2147483647,0,2147483647,[66],[FDD],"Band Number = 66, Uplink = 1710.0 - 1780.0 MHz, Downlink = 1710.0 - 1780.0 MHz ",Unavailable,Unavailable,0,1723951116932,10.049584423,2024-08-17 23:18:36.932000,-121.9479709,37.3931231,-24.899999618530277,37.3931231,-121.9479709,-24.899999618530277
4G_LTE,-115,2147483647,-115,-11,-95,2147483647,25,5330,471,2147483647,2147483647,2147483647,1,2147483647,[14],[FDD],"Band Number = 14, Uplink = 788.0 - 798.0 MHz, Downlink = 788.0 - 798.0 MHz ",Unavailable,Unavailable,0,1723951116932,10.049584423,2024-08-17 23:18:36.932000,-121.9479709,37.3931231,-24.899999618530277,37.3931231,-121.9479709,-24.899999618530277
4G_LTE,-119,2147483647,-119,-13,-95,2147483647,21,5330,147,2147483647,2147483647,2147483647,0,2147483647,[14],[FDD],"Band Number = 14, Uplink = 788.0 - 798.0 MHz, Downlink = 788.0 - 798.0 MHz ",Unavailable,Unavailable,0,1723951116932,10.049584423,2024-08-17 23:18:36.932000,-121.9479709,37.3931231,-24.899999618530277,37.3931231,-121.9479709,-24.899999618530277
4G_LTE,-105,2147483647,-105,-9,-87,2147483647,35,5035,87,2147483647,2147483647,2147483647,2,2147483647,[12],[FDD],"Band Number = 12, Uplink = 698.0 - 716.0 MHz, Downlink = 699.0 - 716.0 MHz ",Unavailable,Unavailable,0,1723951116932,10.049584423,2024-08-17 23:18:36.932000,-121.9479709,37.3931231,-24.899999618530277,37.3931231,-121.9479709,-24.899999618530277
