technology,dbm,rssnr,rsrp,rsrq,rssi,cqi,asu,earfcn,pci,ta,ci,tac,level,bandwidth,bands,modes,bands_description,mcc,mnc,is_connected,phone_abs_time,rel_time,time_readable,longitude,latitude,altitude,interp_latitude,interp_longitude,interp_altitude
4G_LTE,-119,2147483647,-119,-15,-95,2147483647,21,5330,147,2147483647,2147483647,2147483647,0,2147483647,[14],[FDD],"Band Number = 14, Uplink = 788.0 - 798.0 MHz, Downlink = 788.0 - 798.0 MHz ",Unavailable,Unavailable,0,1723951241313,3.025721353,2024-08-17 23:20:41.313000,-121.9479445,37.3931882,-24.899999618530277,37.3931882,-121.9479445,-24.899999618530277
4G_LTE,-107,2147483647,-107,-8,-89,2147483647,33,5035,87,2147483647,2147483647,2147483647,1,2147483647,[12],[FDD],"Band Number = 12, Uplink = 698.0 - 716.0 MHz, Downlink = 699.0 - 716.0 MHz ",Unavailable,Unavailable,0,1723951241313,3.025721353,2024-08-17 23:20:41.313000,-121.9479445,37.3931882,-24.899999618530277,37.3931882,-121.9479445,-24.899999618530277
4G_LTE,-113,2147483647,-113,-14,-89,2147483647,27,5035,129,2147483647,2147483647,2147483647,1,2147483647,[12],[FDD],"Band Number = 12, Uplink = 698.0 - 716.0 MHz, Downlink = 699.0 - 716.0 MHz ",Unavailable,Unavailable,0,1723951241313,3.025721353,2024-08-17 23:20:41.313000,-121.9479445,37.3931882,-24.899999618530277,37.3931882,-121.9479445,-24.899999618530277
4G_LTE,-115,2147483647,-115,-16,-89,2147483647,25,5035,231,2147483647,2147483647,2147483647,1,2147483647,[12],[FDD],"Band Number = 12, Uplink = 698.0 - 716.0 MHz, Downlink = 699.0 - 716.0 MHz ",Unavailable,Unavailable,0,1723951241313,3.025721353,2024-08-17 23:20:41.313000,-121.9479445,37.3931882,-24.899999618530277,37.3931882,-121.9479445,-24.899999618530277
4G_LTE,-123,2147483647,-123,-20,-91,2147483647,17,5035,191,2147483647,2147483647,2147483647,0,2147483647,[12],[FDD],"Band Number = 12, Uplink = 698.0 - 716.0 MHz, Downlink = 699.0 - 716.0 MHz ",Unavailable,Unavailable,0,1723951241313,3.025721353,2024-08-17 23:20:41.313000,-121.9479445,37.3931882,-24.899999618530277,37.3931882,-121.9479445,-24.899999618530277
4G_LTE,-120,2147483647,-120,-11,-91,2147483647,20,66986,102,2147483647,169470393,35653,0,2147483647,[66],[FDD],"Band Number = 66, Uplink = 1710.0 - 1780.0 MHz, Downlink = 1710.0 - 1780.0 MHz ",310,410,1,1723951242315,4.027299425,2024-08-17 23:20:42.315000,-121.9479445,37.3931882,-24.899999618530277,37.3931882,-121.9479445,-24.899999618530277
4G_LTE,-132,2147483647,-132,-20,-99,2147483647,8,66986,497,2147483647,2147483647,2147483647,0,2147483647,[66],[FDD],"Band Number = 66, Uplink = 1710.0 - 1780.0 MHz, Downlink = 1710.0 - 1780.0 MHz ",Unavailable,Unavailable,0,1723951242315,4.027299425,2024-08-17 23:20:42.315000,-121.9479445,37.3931882,-24.899999618530277,37.3931882,-121.9479445,-24.899999618530277
4G_LTE,-116,2147483647,-116,-13,-95,2147483647,24,5330,471,2147483647,2147483647,2147483647,0,2147483647,[14],[FDD],"Band Number = 14, Uplink = 788.0 - 798.0 MHz, Downlink = 788.0 - 798.0 MHz ",Unavailable,Unavailable,0,1723951242315,4.027299425,2024-08-17 23:20:42.315000,-121.9479445,37.3931882,-24.899999618530277,37.3931882,-121.9479445,-24.899999618530277
4G_LTE,-119,2147483647,-119,-15,-95,2147483647,21,5330,147,2147483647,2147483647,2147483647,0,2147483647,[14],[FDD],"Band Number = 14, Uplink = 788.0 - 798.0 MHz, Downlink = 788.0 - 798.0 MHz ",Unavailable,Unavailable,0,1723951242315,4.027299425,2024-08-17 23:20:42.315000,-121.9479445,37.3931882,-24.899999618530277,37.3931882,-121.9479445,-24.899999618530277
4G_LTE,-107,2147483647,-107,-8,-89,2147483647,33,5035,87,2147483647,2147483647,2147483647,1,2147483647,[12],[FDD],"Band Number = 12, Uplink = 698.0 - 716.0 MHz, Downlink = 699.0 - 716.0 MHz ",Unavailable,Unavailable,0,1723951242315,4.027299425,2024-08-17 23:20:42.315000,-121.9479445,37.3931882,-24.899999618530277,37.3931882,-121.9479445,-24.899999618530277
4G_LTE,-113,2147483647,-113,-14,-89,2147483647,27,5035,129,2147483647,2147483647,2147483647,1,2147483647,[12],[FDD],"Band Number = 12, Uplink = 698.0 - 716.0 MHz, Downlink = 699.0 - 716.0 MHz ",Unavailable,Unavailable,0,1723951242315,4.027299425,2024-08-17 23:20:42.315000,-121.9479445,37.3931882,-24.899999618530277,37.3931882,-121.9479445,-24.899999618530277
4G_LTE,-115,2147483647,-115,-16,-89,2147483647,25,5035,231,2147483647,2147483647,2147483647,1,2147483647,[12],[FDD],"Band Number = 12, Uplink = 698.0 - 716.0 MHz, Downlink = 699.0 - 716.0 MHz ",Unavailable,Unavailable,0,1723951242315,4.027299425,2024-08-17 23:20:42.315000,-121.9479445,37.3931882,-24.899999618530277,37.3931882,-121.9479445,-24.899999618530277
4G_LTE,-123,2147483647,-123,-20,-91,2147483647,17,5035,191,2147483647,2147483647,2147483647,0,2147483647,[12],[FDD],"Band Number = 12, Uplink = 698.0 - 716.0 MHz, Downlink = 699.0 - 716.0 MHz ",Unavailable,Unavailable,0,1723951242315,4.027299425,2024-08-17 23:20:42.315000,-121.9479445,37.3931882,-24.899999618530277,37.3931882,-121.9479445,-24.899999618530277
4G_LTE,-120,2147483647,-120,-11,-91,2147483647,20,66986,102,2147483647,169470393,35653,0,2147483647,[66],[FDD],"Band Number = 66, Uplink = 1710.0 - 1780.0 MHz, Downlink = 1710.0 - 1780.0 MHz ",310,410,1,1723951243315,5.027321404,2024-08-17 23:20:43.315000,-121.9480027,37.3931193,-23.600000381469727,37.3931193,-121.9480027,-23.600000381469727
4G_LTE,-132,2147483647,-132,-20,-99,2147483647,8,66986,497,2147483647,2147483647,2147483647,0,2147483647,[66],[FDD],"Band Number = 66, Uplink = 1710.0 - 1780.0 MHz, Downlink = 1710.0 - 1780.0 MHz ",Unavailable,Unavailable,0,1723951243315,5.027321404,2024-08-17 23:20:43.315000,-121.9480027,37.3931193,-23.600000381469727,37.3931193,-121.9480027,-23.600000381469727
4G_LTE,-116,2147483647,-116,-13,-95,2147483647,24,5330,471,2147483647,2147483647,2147483647,0,2147483647,[14],[FDD],"Band Number = 14, Uplink = 788.0 - 798.0 MHz, Downlink = 788.0 - 798.0 MHz ",Unavailable,Unavailable,0,1723951243315,5.027321404,2024-08-17 23:20:43.315000,-121.9480027,37.3931193,-23.600000381469727,37.3931193,-121.9480027,-23.600000381469727
4G_LTE,-119,2147483647,-119,-15,-95,2147483647,21,5330,147,2147483647,2147483647,2147483647,0,2147483647,[14],[FDD],"Band Number = 14, Uplink = 788.0 - 798.0 MHz, Downlink = 788.0 - 798.0 MHz ",Unavailable,Unavailable,0,1723951243315,5.027321404,2024-08-17 23:20:43.315000,-121.9480027,37.3931193,-23.600000381469727,37.3931193,-121.9480027,-23.600000381469727
4G_LTE,-107,2147483647,-107,-8,-89,2147483647,33,5035,87,2147483647,2147483647,2147483647,1,2147483647,[12],[FDD],"Band Number = 12, Uplink = 698.0 - 716.0 MHz, Downlink = 699.0 - 716.0 MHz ",Unavailable,Unavailable,0,1723951243315,5.027321404,2024-08-17 23:20:43.315000,-121.9480027,37.3931193,-23.600000381469727,37.3931193,-121.9480027,-23.600000381469727
4G_LTE,-113,2147483647,-113,-14,-89,2147483647,27,5035,129,2147483647,2147483647,2147483647,1,2147483647,[12],[FDD],"Band Number = 12, Uplink = 698.0 - 716.0 MHz, Downlink = 699.0 - 716.0 MHz ",Unavailable,Unavailable,0,1723951243315,5.027321404,2024-08-17 23:20:43.315000,-121.9480027,37.3931193,-23.600000381469727,37.3931193,-121.9480027,-23.600000381469727
4G_LTE,-115,2147483647,-115,-16,-89,2147483647,25,5035,231,2147483647,2147483647,2147483647,1,2147483647,[12],[FDD],"Band Number = 12, Uplink = 698.0 - 716.0 MHz, Downlink = 699.0 - 716.0 MHz ",Unavailable,Unavailable,0,1723951243315,5.027321404,2024-08-17 23:20:43.315000,-121.9480027,37.3931193,-23.600000381469727,37.3931193,-121.9480027,-23.600000381469727
4G_LTE,-123,2147483647,-123,-20,-91,2147483647,17,5035,191,2147483647,2147483647,2147483647,0,2147483647,[12],[FDD],"Band Number = 12, Uplink = 698.0 - 716.0 MHz, Downlink = 699.0 - 716.0 MHz ",Unavailable,Unavailable,0,1723951243315,5.027321404,2024-08-17 23:20:43.315000,-121.9480027,37.3931193,-23.600000381469727,37.3931193,-121.9480027,-23.600000381469727
4G_LTE,-120,2147483647,-120,-11,-91,2147483647,20,66986,102,2147483647,169470393,35653,0,2147483647,[66],[FDD],"Band Number = 66, Uplink = 1710.0 - 1780.0 MHz, Downlink = 1710.0 - 1780.0 MHz ",310,410,1,1723951244314,6.026773227,2024-08-17 23:20:44.314000,-121.9480027,37.3931193,-23.600000381469727,37.3931193,-121.9480027,-23.600000381469727
4G_LTE,-132,2147483647,-132,-20,-99,2147483647,8,66986,497,2147483647,2147483647,2147483647,0,2147483647,[66],[FDD],"Band Number = 66, Uplink = 1710.0 - 1780.0 MHz, Downlink = 1710.0 - 1780.0 MHz ",Unavailable,Unavailable,0,1723951244314,6.026773227,2024-08-17 23:20:44.314000,-121.9480027,37.3931193,-23.600000381469727,37.3931193,-121.9480027,-23.600000381469727
4G_LTE,-116,2147483647,-116,-13,-95,2147483647,24,5330,471,2147483647,2147483647,2147483647,0,2147483647,[14],[FDD],"Band Number = 14, Uplink = 788.0 - 798.0 MHz, Downlink = 788.0 - 798.0 MHz ",Unavailable,Unavailable,0,1723951244314,6.026773227,2024-08-17 23:20:44.314000,-121.9480027,37.3931193,-23.600000381469727,37.3931193,-121.9480027,-23.600000381469727
4G_LTE,-119,2147483647,-119,-15,-95,2147483647,21,5330,147,2147483647,2147483647,2147483647,0,2147483647,[14],[FDD],"Band Number = 14, Uplink = 788.0 - 798.0 MHz, Downlink = 788.0 - 798.0 MHz ",Unavailable,Unavailable,0,1723951244314,6.026773227,2024-08-17 23:20:44.314000,-121.9480027,37.3931193,-23.600000381469727,37.3931193,-121.9480027,-23.600000381469727
4G_LTE,-107,2147483647,-107,-8,-89,2147483647,33,5035,87,2147483647,2147483647,2147483647,1,2147483647,[12],[FDD],"Band Number = 12, Uplink = 698.0 - 716.0 MHz, Downlink = 699.0 - 716.0 MHz ",Unavailable,Unavailable,0,1723951244314,6.026773227,2024-08-17 23:20:44.314000,-121.9480027,37.3931193,-23.600000381469727,37.3931193,-121.9480027,-23.600000381469727
4G_LTE,-113,2147483647,-113,-14,-89,2147483647,27,5035,129,2147483647,2147483647,2147483647,1,2147483647,[12],[FDD],"Band Number = 12, Uplink = 698.0 - 716.0 MHz, Downlink = 699.0 - 716.0 MHz ",Unavailable,Unavailable,0,1723951244314,6.026773227,2024-08-17 23:20:44.314000,-121.9480027,37.3931193,-23.600000381469727,37.3931193,-121.9480027,-23.600000381469727
4G_LTE,-115,2147483647,-115,-16,-89,2147483647,25,5035,231,2147483647,2147483647,2147483647,1,2147483647,[12],[FDD],"Band Number = 12, Uplink = 698.0 - 716.0 MHz, Downlink = 699.0 - 716.0 MHz ",Unavailable,Unavailable,0,1723951244314,6.026773227,2024-08-17 23:20:44.314000,-121.9480027,37.3931193,-23.600000381469727,37.3931193,-121.9480027,-23.600000381469727
4G_LTE,-123,2147483647,-123,-20,-91,2147483647,17,5035,191,2147483647,2147483647,2147483647,0,2147483647,[12],[FDD],"Band Number = 12, Uplink = 698.0 - 716.0 MHz, Downlink = 699.0 - 716.0 MHz ",Unavailable,Unavailable,0,1723951244314,6.026773227,2024-08-17 23:20:44.314000,-121.9480027,37.3931193,-23.600000381469727,37.3931193,-121.9480027,-23.600000381469727
4G_LTE,-120,2147483647,-120,-11,-91,2147483647,20,66986,102,2147483647,169470393,35653,0,2147483647,[66],[FDD],"Band Number = 66, Uplink = 1710.0 - 1780.0 MHz, Downlink = 1710.0 - 1780.0 MHz ",310,410,1,1723951245315,7.027585258,2024-08-17 23:20:45.315000,-121.9480027,37.3931193,-23.600000381469727,37.3931193,-121.9480027,-23.600000381469727
4G_LTE,-132,2147483647,-132,-20,-99,2147483647,8,66986,497,2147483647,2147483647,2147483647,0,2147483647,[66],[FDD],"Band Number = 66, Uplink = 1710.0 - 1780.0 MHz, Downlink = 1710.0 - 1780.0 MHz ",Unavailable,Unavailable,0,1723951245315,7.027585258,2024-08-17 23:20:45.315000,-121.9480027,37.3931193,-23.600000381469727,37.3931193,-121.9480027,-23.600000381469727
4G_LTE,-116,2147483647,-116,-13,-95,2147483647,24,5330,471,2147483647,2147483647,2147483647,0,2147483647,[14],[FDD],"Band Number = 14, Uplink = 788.0 - 798.0 MHz, Downlink = 788.0 - 798.0 MHz ",Unavailable,Unavailable,0,1723951245315,7.027585258,2024-08-17 23:20:45.315000,-121.9480027,37.3931193,-23.600000381469727,37.3931193,-121.9480027,-23.600000381469727
4G_LTE,-119,2147483647,-119,-15,-95,2147483647,21,5330,147,2147483647,2147483647,2147483647,0,2147483647,[14],[FDD],"Band Number = 14, Uplink = 788.0 - 798.0 MHz, Downlink = 788.0 - 798.0 MHz ",Unavailable,Unavailable,0,1723951245315,7.027585258,2024-08-17 23:20:45.315000,-121.9480027,37.3931193,-23.600000381469727,37.3931193,-121.9480027,-23.600000381469727
4G_LTE,-107,2147483647,-107,-8,-89,2147483647,33,5035,87,2147483647,2147483647,2147483647,1,2147483647,[12],[FDD],"Band Number = 12, Uplink = 698.0 - 716.0 MHz, Downlink = 699.0 - 716.0 MHz ",Unavailable,Unavailable,0,1723951245315,7.027585258,2024-08-17 23:20:45.315000,-121.9480027,37.3931193,-23.600000381469727,37.3931193,-121.9480027,-23.600000381469727
4G_LTE,-113,2147483647,-113,-14,-89,2147483647,27,5035,129,2147483647,2147483647,2147483647,1,2147483647,[12],[FDD],"Band Number = 12, Uplink = 698.0 - 716.0 MHz, Downlink = 699.0 - 716.0 MHz ",Unavailable,Unavailable,0,1723951245315,7.027585258,2024-08-17 23:20:45.315000,-121.9480027,37.3931193,-23.600000381469727,37.3931193,-121.9480027,-23.600000381469727
4G_LTE,-115,2147483647,-115,-16,-89,2147483647,25,5035,231,2147483647,2147483647,2147483647,1,2147483647,[12],[FDD],"Band Number = 12, Uplink = 698.0 - 716.0 MHz, Downlink = 699.0 - 716.0 MHz ",Unavailable,Unavailable,0,1723951245315,7.027585258,2024-08-17 23:20:45.315000,-121.9480027,37.3931193,-23.600000381469727,37.3931193,-121.9480027,-23.600000381469727
4G_LTE,-123,2147483647,-123,-20,-91,2147483647,17,5035,191,2147483647,2147483647,2147483647,0,2147483647,[12],[FDD],"Band Number = 12, Uplink = 698.0 - 716.0 MHz, Downlink = 699.0 - 716.0 MHz ",Unavailable,Unavailable,0,1723951245315,7.027585258,2024-08-17 23:20:45.315000,-121.9480027,37.3931193,-23.600000381469727,37.3931193,-121.9480027,-23.600000381469727
4G_LTE,-116,2147483647,-116,-12,-87,2147483647,24,66986,102,2147483647,169470393,35653,0,2147483647,[66],[FDD],"Band Number = 66, Uplink = 1710.0 - 1780.0 MHz, Downlink = 1710.0 - 1780.0 MHz ",310,410,1,1723951246319,8.029810518,2024-08-17 23:20:46.319000,-121.9480027,37.3931193,-23.600000381469727,37.3931193,-121.9480027,-23.600000381469727
