technology,dbm,rssnr,rsrp,rsrq,rssi,cqi,asu,earfcn,pci,ta,ci,tac,level,bandwidth,bands,modes,bands_description,mcc,mnc,is_connected,phone_abs_time,rel_time,time_readable,longitude,latitude,altitude,interp_latitude,interp_longitude,interp_altitude
4G_LTE,-123,2147483647,-123,-15,-91,2147483647,17,66986,102,2147483647,169470393,35653,0,2147483647,[66],[FDD],"Band Number = 66, Uplink = 1710.0 - 1780.0 MHz, Downlink = 1710.0 - 1780.0 MHz ",310,410,1,1723951449296,1.016497031,2024-08-17 23:24:09.296000,-121.9479386,37.3931615,-24.899999618530277,37.3931615,-121.9479386,-24.899999618530277
4G_LTE,-113,2147483647,-113,-10,-95,2147483647,27,5330,471,2147483647,2147483647,2147483647,1,2147483647,[14],[FDD],"Band Number = 14, Uplink = 788.0 - 798.0 MHz, Downlink = 788.0 - 798.0 MHz ",Unavailable,Unavailable,0,1723951449296,1.016497031,2024-08-17 23:24:09.296000,-121.9479386,37.3931615,-24.899999618530277,37.3931615,-121.9479386,-24.899999618530277
4G_LTE,-121,2147483647,-121,-15,-95,2147483647,19,5330,147,2147483647,2147483647,2147483647,0,2147483647,[14],[FDD],"Band Number = 14, Uplink = 788.0 - 798.0 MHz, Downlink = 788.0 - 798.0 MHz ",Unavailable,Unavailable,0,1723951449296,1.016497031,2024-08-17 23:24:09.296000,-121.9479386,37.3931615,-24.899999618530277,37.3931615,-121.9479386,-24.899999618530277
4G_LTE,-102,2147483647,-102,-10,-83,2147483647,38,5035,87,2147483647,2147483647,2147483647,2,2147483647,[12],[FDD],"Band Number = 12, Uplink = 698.0 - 716.0 MHz, Downlink = 699.0 - 716.0 MHz ",Unavailable,Unavailable,0,1723951449296,1.016497031,2024-08-17 23:24:09.296000,-121.9479386,37.3931615,-24.899999618530277,37.3931615,-121.9479386,-24.899999618530277
4G_LTE,-115,2147483647,-115,-20,-83,2147483647,25,5035,88,2147483647,2147483647,2147483647,1,2147483647,[12],[FDD],"Band Number = 12, Uplink = 698.0 - 716.0 MHz, Downlink = 699.0 - 716.0 MHz ",Unavailable,Unavailable,0,1723951449296,1.016497031,2024-08-17 23:24:09.296000,-121.9479386,37.3931615,-24.899999618530277,37.3931615,-121.9479386,-24.899999618530277
4G_LTE,-123,2147483647,-123,-15,-91,2147483647,17,66986,102,2147483647,169470393,35653,0,2147483647,[66],[FDD],"Band Number = 66, Uplink = 1710.0 - 1780.0 MHz, Downlink = 1710.0 - 1780.0 MHz ",310,410,1,1723951450303,2.023163333,2024-08-17 23:24:10.303000,-121.9479386,37.3931615,-24.899999618530277,37.3931615,-121.9479386,-24.899999618530277
4G_LTE,-113,2147483647,-113,-10,-95,2147483647,27,5330,471,2147483647,2147483647,2147483647,1,2147483647,[14],[FDD],"Band Number = 14, Uplink = 788.0 - 798.0 MHz, Downlink = 788.0 - 798.0 MHz ",Unavailable,Unavailable,0,1723951450303,2.023163333,2024-08-17 23:24:10.303000,-121.9479386,37.3931615,-24.899999618530277,37.3931615,-121.9479386,-24.899999618530277
4G_LTE,-121,2147483647,-121,-15,-95,2147483647,19,5330,147,2147483647,2147483647,2147483647,0,2147483647,[14],[FDD],"Band Number = 14, Uplink = 788.0 - 798.0 MHz, Downlink = 788.0 - 798.0 MHz ",Unavailable,Unavailable,0,1723951450303,2.023163333,2024-08-17 23:24:10.303000,-121.9479386,37.3931615,-24.899999618530277,37.3931615,-121.9479386,-24.899999618530277
4G_LTE,-102,2147483647,-102,-10,-83,2147483647,38,5035,87,2147483647,2147483647,2147483647,2,2147483647,[12],[FDD],"Band Number = 12, Uplink = 698.0 - 716.0 MHz, Downlink = 699.0 - 716.0 MHz ",Unavailable,Unavailable,0,1723951450303,2.023163333,2024-08-17 23:24:10.303000,-121.9479386,37.3931615,-24.899999618530277,37.3931615,-121.9479386,-24.899999618530277
4G_LTE,-115,2147483647,-115,-20,-83,2147483647,25,5035,88,2147483647,2147483647,2147483647,1,2147483647,[12],[FDD],"Band Number = 12, Uplink = 698.0 - 716.0 MHz, Downlink = 699.0 - 716.0 MHz ",Unavailable,Unavailable,0,1723951450303,2.023163333,2024-08-17 23:24:10.303000,-121.9479386,37.3931615,-24.899999618530277,37.3931615,-121.9479386,-24.899999618530277
4G_LTE,-123,2147483647,-123,-15,-91,2147483647,17,66986,102,2147483647,169470393,35653,0,2147483647,[66],[FDD],"Band Number = 66, Uplink = 1710.0 - 1780.0 MHz, Downlink = 1710.0 - 1780.0 MHz ",310,410,1,1723951451315,3.035168228,2024-08-17 23:24:11.315000,-121.9479386,37.3931615,-24.899999618530277,37.3931615,-121.9479386,-24.899999618530277
4G_LTE,-113,2147483647,-113,-10,-95,2147483647,27,5330,471,2147483647,2147483647,2147483647,1,2147483647,[14],[FDD],"Band Number = 14, Uplink = 788.0 - 798.0 MHz, Downlink = 788.0 - 798.0 MHz ",Unavailable,Unavailable,0,1723951451315,3.035168228,2024-08-17 23:24:11.315000,-121.9479386,37.3931615,-24.899999618530277,37.3931615,-121.9479386,-24.899999618530277
4G_LTE,-121,2147483647,-121,-15,-95,2147483647,19,5330,147,2147483647,2147483647,2147483647,0,2147483647,[14],[FDD],"Band Number = 14, Uplink = 788.0 - 798.0 MHz, Downlink = 788.0 - 798.0 MHz ",Unavailable,Unavailable,0,1723951451315,3.035168228,2024-08-17 23:24:11.315000,-121.9479386,37.3931615,-24.899999618530277,37.3931615,-121.9479386,-24.899999618530277
4G_LTE,-102,2147483647,-102,-10,-83,2147483647,38,5035,87,2147483647,2147483647,2147483647,2,2147483647,[12],[FDD],"Band Number = 12, Uplink = 698.0 - 716.0 MHz, Downlink = 699.0 - 716.0 MHz ",Unavailable,Unavailable,0,1723951451315,3.035168228,2024-08-17 23:24:11.315000,-121.9479386,37.3931615,-24.899999618530277,37.3931615,-121.9479386,-24.899999618530277
4G_LTE,-115,2147483647,-115,-20,-83,2147483647,25,5035,88,2147483647,2147483647,2147483647,1,2147483647,[12],[FDD],"Band Number = 12, Uplink = 698.0 - 716.0 MHz, Downlink = 699.0 - 716.0 MHz ",Unavailable,Unavailable,0,1723951451315,3.035168228,2024-08-17 23:24:11.315000,-121.9479386,37.3931615,-24.899999618530277,37.3931615,-121.9479386,-24.899999618530277
