technology,dbm,rssnr,rsrp,rsrq,rssi,cqi,asu,earfcn,pci,ta,ci,tac,level,bandwidth,bands,modes,bands_description,mcc,mnc,is_connected,phone_abs_time,rel_time,time_readable,longitude,latitude,altitude,geo_id_cg_api,state_abrv,census_tract_geoid,census_tract_arealand,census_block_geoid,census_block_arealand,county_geoid,county_name,population_density,rucc,physiographic_region_area,physiographic_region_perimeter,physiographic_region_physiodd_,physiographic_region_physiodd_i,physiographic_region_fcode,physiographic_region_fencode,physiographic_region_division,physiographic_region_province,physiographic_region_section,physiographic_region_provcode,elevation,distance_to_next_point_meters
4G_LTE,-88,2147483647,-88,-15,-63,2147483647,52,1125,308,7,2147483647,2147483647,3,2147483647,[2],[FDD],"Band Number = 2, Uplink = 1850.0 - 1910.0 MHz, Downlink = 1850.0 - 1910.0 MHz ",Unavailable,Unavailable,0,1724262725233,19263.837438328,2024-08-21 13:52:05.233000,-103.7435192,35.1516496,1258.35256475286,350379589003476.0,NM,35037958900.0,7377212411.0,350379589003476.0,4157.0,35037.0,Quay County,1.0,7.0,7.525,15.171,308.0,323.0,138.0,13h,interior_plains,great_plains,pecos_valley,13.0,1286.297119140625,0.0
4G_LTE,-84,2147483647,-84,-13,-51,2147483647,56,1125,306,7,120774154,27909,4,2147483647,[2],[FDD],"Band Number = 2, Uplink = 1850.0 - 1910.0 MHz, Downlink = 1850.0 - 1910.0 MHz ",310,410,1,1724262725233,19263.837438328,2024-08-21 13:52:05.233000,-103.7435192,35.1516496,1258.35256475286,350379589003476.0,NM,35037958900.0,7377212411.0,350379589003476.0,4157.0,35037.0,Quay County,1.0,7.0,7.525,15.171,308.0,323.0,138.0,13h,interior_plains,great_plains,pecos_valley,13.0,1286.297119140625,0.0
4G_LTE,-105,2147483647,-105,-20,-73,2147483647,35,9820,493,7,2147483647,2147483647,2,2147483647,[30],[FDD],"Band Number = 30, Uplink = 2305.0 - 2315.0 MHz, Downlink = 2305.0 - 2315.0 MHz ",Unavailable,Unavailable,0,1724262725233,19263.837438328,2024-08-21 13:52:05.233000,-103.7435192,35.1516496,1258.35256475286,350379589003476.0,NM,35037958900.0,7377212411.0,350379589003476.0,4157.0,35037.0,Quay County,1.0,7.0,7.525,15.171,308.0,323.0,138.0,13h,interior_plains,great_plains,pecos_valley,13.0,1286.297119140625,66.14078147555269
4G_LTE,-84,2147483647,-84,-13,-51,2147483647,56,1125,306,7,120774154,27909,4,2147483647,[2],[FDD],"Band Number = 2, Uplink = 1850.0 - 1910.0 MHz, Downlink = 1850.0 - 1910.0 MHz ",310,410,1,1724262726234,19264.839097078,2024-08-21 13:52:06.234000,-103.7427927256806,35.151618183005056,1258.9177953811966,350379586011167.0,NM,35037958601.0,22917120.0,350379586011167.0,13080.0,35037.0,Quay County,356.56,7.0,7.525,15.171,308.0,323.0,138.0,13h,interior_plains,great_plains,pecos_valley,13.0,1286.918334960938,66.14078147555269
4G_LTE,-88,2147483647,-88,-15,-63,2147483647,52,1125,308,7,2147483647,2147483647,3,2147483647,[2],[FDD],"Band Number = 2, Uplink = 1850.0 - 1910.0 MHz, Downlink = 1850.0 - 1910.0 MHz ",Unavailable,Unavailable,0,1724262726234,19264.839097078,2024-08-21 13:52:06.234000,-103.7435192,35.1516496,1258.35256475286,350379589003476.0,NM,35037958900.0,7377212411.0,350379589003476.0,4157.0,35037.0,Quay County,1.0,7.0,7.525,15.171,308.0,323.0,138.0,13h,interior_plains,great_plains,pecos_valley,13.0,1286.297119140625,0.0
4G_LTE,-91,2147483647,-91,-11,-71,2147483647,49,9820,420,7,2147483647,2147483647,3,2147483647,[30],[FDD],"Band Number = 30, Uplink = 2305.0 - 2315.0 MHz, Downlink = 2305.0 - 2315.0 MHz ",Unavailable,Unavailable,0,1724262726234,19264.839097078,2024-08-21 13:52:06.234000,-103.7435192,35.1516496,1258.35256475286,350379589003476.0,NM,35037958900.0,7377212411.0,350379589003476.0,4157.0,35037.0,Quay County,1.0,7.0,7.525,15.171,308.0,323.0,138.0,13h,interior_plains,great_plains,pecos_valley,13.0,1286.297119140625,0.0
4G_LTE,-105,2147483647,-105,-20,-73,2147483647,35,9820,493,7,2147483647,2147483647,2,2147483647,[30],[FDD],"Band Number = 30, Uplink = 2305.0 - 2315.0 MHz, Downlink = 2305.0 - 2315.0 MHz ",Unavailable,Unavailable,0,1724262726234,19264.839097078,2024-08-21 13:52:06.234000,-103.7435192,35.1516496,1258.35256475286,350379589003476.0,NM,35037958900.0,7377212411.0,350379589003476.0,4157.0,35037.0,Quay County,1.0,7.0,7.525,15.171,308.0,323.0,138.0,13h,interior_plains,great_plains,pecos_valley,13.0,1286.297119140625,0.0
4G_LTE,-96,2147483647,-96,-16,-71,2147483647,44,9820,485,7,2147483647,2147483647,2,2147483647,[30],[FDD],"Band Number = 30, Uplink = 2305.0 - 2315.0 MHz, Downlink = 2305.0 - 2315.0 MHz ",Unavailable,Unavailable,0,1724262726234,19264.839097078,2024-08-21 13:52:06.234000,-103.7435192,35.1516496,1258.35256475286,350379589003476.0,NM,35037958900.0,7377212411.0,350379589003476.0,4157.0,35037.0,Quay County,1.0,7.0,7.525,15.171,308.0,323.0,138.0,13h,interior_plains,great_plains,pecos_valley,13.0,1286.297119140625,0.0
4G_LTE,-100,2147483647,-100,-11,-79,2147483647,40,66536,306,7,2147483647,2147483647,2,2147483647,[66],[FDD],"Band Number = 66, Uplink = 1710.0 - 1780.0 MHz, Downlink = 1710.0 - 1780.0 MHz ",Unavailable,Unavailable,1,1724262726234,19264.839097078,2024-08-21 13:52:06.234000,-103.7435192,35.1516496,1258.35256475286,350379589003476.0,NM,35037958900.0,7377212411.0,350379589003476.0,4157.0,35037.0,Quay County,1.0,7.0,7.525,15.171,308.0,323.0,138.0,13h,interior_plains,great_plains,pecos_valley,13.0,1286.297119140625,0.0
4G_LTE,-104,2147483647,-104,-14,-79,2147483647,36,66536,308,7,2147483647,2147483647,2,2147483647,[66],[FDD],"Band Number = 66, Uplink = 1710.0 - 1780.0 MHz, Downlink = 1710.0 - 1780.0 MHz ",Unavailable,Unavailable,0,1724262726234,19264.839097078,2024-08-21 13:52:06.234000,-103.7435192,35.1516496,1258.35256475286,350379589003476.0,NM,35037958900.0,7377212411.0,350379589003476.0,4157.0,35037.0,Quay County,1.0,7.0,7.525,15.171,308.0,323.0,138.0,13h,interior_plains,great_plains,pecos_valley,13.0,1286.297119140625,0.0
4G_LTE,-106,2147483647,-106,-17,-79,2147483647,34,66536,309,7,2147483647,2147483647,1,2147483647,[66],[FDD],"Band Number = 66, Uplink = 1710.0 - 1780.0 MHz, Downlink = 1710.0 - 1780.0 MHz ",Unavailable,Unavailable,0,1724262726234,19264.839097078,2024-08-21 13:52:06.234000,-103.7435192,35.1516496,1258.35256475286,350379589003476.0,NM,35037958900.0,7377212411.0,350379589003476.0,4157.0,35037.0,Quay County,1.0,7.0,7.525,15.171,308.0,323.0,138.0,13h,interior_plains,great_plains,pecos_valley,13.0,1286.297119140625,132.34766316096182
4G_LTE,-99,2147483647,-99,-11,-77,2147483647,41,66536,306,7,2147483647,2147483647,2,2147483647,[66],[FDD],"Band Number = 66, Uplink = 1710.0 - 1780.0 MHz, Downlink = 1710.0 - 1780.0 MHz ",Unavailable,Unavailable,1,1724262727236,19265.841228015,2024-08-21 13:52:07.236000,-103.74206552561265,35.1515867346245,1259.4835906754954,350379586011167.0,NM,35037958601.0,22917120.0,350379586011167.0,13080.0,35037.0,Quay County,356.56,7.0,7.525,15.171,308.0,323.0,138.0,13h,interior_plains,great_plains,pecos_valley,13.0,1287.486694335938,0.0
4G_LTE,-107,2147483647,-107,-19,-77,2147483647,33,66536,309,7,2147483647,2147483647,1,2147483647,[66],[FDD],"Band Number = 66, Uplink = 1710.0 - 1780.0 MHz, Downlink = 1710.0 - 1780.0 MHz ",Unavailable,Unavailable,0,1724262727236,19265.841228015,2024-08-21 13:52:07.236000,-103.74206552561265,35.1515867346245,1259.4835906754954,350379586011167.0,NM,35037958601.0,22917120.0,350379586011167.0,13080.0,35037.0,Quay County,356.56,7.0,7.525,15.171,308.0,323.0,138.0,13h,interior_plains,great_plains,pecos_valley,13.0,1287.486694335938,0.0
4G_LTE,-92,2147483647,-92,-15,-67,2147483647,48,9820,485,7,2147483647,2147483647,3,2147483647,[30],[FDD],"Band Number = 30, Uplink = 2305.0 - 2315.0 MHz, Downlink = 2305.0 - 2315.0 MHz ",Unavailable,Unavailable,0,1724262727236,19265.841228015,2024-08-21 13:52:07.236000,-103.74206552561265,35.1515867346245,1259.4835906754954,350379586011167.0,NM,35037958601.0,22917120.0,350379586011167.0,13080.0,35037.0,Quay County,356.56,7.0,7.525,15.171,308.0,323.0,138.0,13h,interior_plains,great_plains,pecos_valley,13.0,1287.486694335938,0.0
4G_LTE,-99,2147483647,-99,-10,-77,2147483647,41,66536,308,7,2147483647,2147483647,2,2147483647,[66],[FDD],"Band Number = 66, Uplink = 1710.0 - 1780.0 MHz, Downlink = 1710.0 - 1780.0 MHz ",Unavailable,Unavailable,0,1724262727236,19265.841228015,2024-08-21 13:52:07.236000,-103.74206552561265,35.1515867346245,1259.4835906754954,350379586011167.0,NM,35037958601.0,22917120.0,350379586011167.0,13080.0,35037.0,Quay County,356.56,7.0,7.525,15.171,308.0,323.0,138.0,13h,interior_plains,great_plains,pecos_valley,13.0,1287.486694335938,0.0
